HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.comments,Answer.money,Approve,Reject
31YWE12TE2Q4FWV2MRZZDZGGWUYX7P,3AKE04YHPPGA37ACTAFCMDEC6Q7HZ2,Tracking Study about Visual Attention,You will perform a simple video-game-like tracking task to help us learn about visual attention.,"Cognitive, tracking, attention",$1.00 ,Tue Jun 25 10:53:48 PDT 2019,10,BatchId:3687178;OriginalHitTemplateId:928390912;,1800,259200,Tue Jul 02 10:53:48 PDT 2019,,,3C6FJU71TT7X0WV2UXJDVPXWM73YUZ,AAUXQDLH9Z1YS,Submitted,Tue Jun 25 11:03:53 PDT 2019,Tue Jun 25 11:17:43 PDT 2019,Fri Jun 28 11:17:43 PDT 2019,,,,830,0% (0/0),0% (0/0),0% (0/0),{},1,,
31YWE12TE2Q4FWV2MRZZDZGGWUYX7P,3AKE04YHPPGA37ACTAFCMDEC6Q7HZ2,Tracking Study about Visual Attention,You will perform a simple video-game-like tracking task to help us learn about visual attention.,"Cognitive, tracking, attention",$1.00 ,Tue Jun 25 10:53:48 PDT 2019,10,BatchId:3687178;OriginalHitTemplateId:928390912;,1800,259200,Tue Jul 02 10:53:48 PDT 2019,,,3F6HPJW4JGEKRFR0WCRJ49HOS8JW2F,A8P2HH582F75W,Submitted,Tue Jun 25 11:24:32 PDT 2019,Tue Jun 25 11:52:40 PDT 2019,Fri Jun 28 11:52:40 PDT 2019,,,,1688,0% (0/0),0% (0/0),0% (0/0),{},1.75,,
31YWE12TE2Q4FWV2MRZZDZGGWUYX7P,3AKE04YHPPGA37ACTAFCMDEC6Q7HZ2,Tracking Study about Visual Attention,You will perform a simple video-game-like tracking task to help us learn about visual attention.,"Cognitive, tracking, attention",$1.00 ,Tue Jun 25 10:53:48 PDT 2019,10,BatchId:3687178;OriginalHitTemplateId:928390912;,1800,259200,Tue Jul 02 10:53:48 PDT 2019,,,3HVVDCPGTH6I0JGDUST3QTBU3TWYT8,A320QA9HJFUOZO,Submitted,Tue Jun 25 10:54:16 PDT 2019,Tue Jun 25 10:59:46 PDT 2019,Fri Jun 28 10:59:46 PDT 2019,,,,330,0% (0/0),0% (0/0),0% (0/0),{},1,,
31YWE12TE2Q4FWV2MRZZDZGGWUYX7P,3AKE04YHPPGA37ACTAFCMDEC6Q7HZ2,Tracking Study about Visual Attention,You will perform a simple video-game-like tracking task to help us learn about visual attention.,"Cognitive, tracking, attention",$1.00 ,Tue Jun 25 10:53:48 PDT 2019,10,BatchId:3687178;OriginalHitTemplateId:928390912;,1800,259200,Tue Jul 02 10:53:48 PDT 2019,,,3J4Q2Z4UT1H1JYTLYNHK0RFR8EXWQT,A2PVZDPID5909B,Submitted,Tue Jun 25 10:54:59 PDT 2019,Tue Jun 25 11:07:43 PDT 2019,Fri Jun 28 11:07:43 PDT 2019,,,,764,0% (0/0),0% (0/0),0% (0/0),{},2.25,,
31YWE12TE2Q4FWV2MRZZDZGGWUYX7P,3AKE04YHPPGA37ACTAFCMDEC6Q7HZ2,Tracking Study about Visual Attention,You will perform a simple video-game-like tracking task to help us learn about visual attention.,"Cognitive, tracking, attention",$1.00 ,Tue Jun 25 10:53:48 PDT 2019,10,BatchId:3687178;OriginalHitTemplateId:928390912;,1800,259200,Tue Jul 02 10:53:48 PDT 2019,,,3L4PIM1GQWU5K43LQ3O8QEACF8ZYRV,ALAEBEEHK525U,Submitted,Tue Jun 25 10:54:16 PDT 2019,Tue Jun 25 11:11:01 PDT 2019,Fri Jun 28 11:11:01 PDT 2019,,,,1005,0% (0/0),0% (0/0),0% (0/0),{},1.75,,
31YWE12TE2Q4FWV2MRZZDZGGWUYX7P,3AKE04YHPPGA37ACTAFCMDEC6Q7HZ2,Tracking Study about Visual Attention,You will perform a simple video-game-like tracking task to help us learn about visual attention.,"Cognitive, tracking, attention",$1.00 ,Tue Jun 25 10:53:48 PDT 2019,10,BatchId:3687178;OriginalHitTemplateId:928390912;,1800,259200,Tue Jul 02 10:53:48 PDT 2019,,,3NPI0JQDARJOR5OC35XKD2IIZOTTP9,A2IJ3DHPY8RP0A,Submitted,Tue Jun 25 11:54:34 PDT 2019,Tue Jun 25 12:04:43 PDT 2019,Fri Jun 28 12:04:43 PDT 2019,,,,609,0% (0/0),0% (0/0),0% (0/0),{},1.75,,
31YWE12TE2Q4FWV2MRZZDZGGWUYX7P,3AKE04YHPPGA37ACTAFCMDEC6Q7HZ2,Tracking Study about Visual Attention,You will perform a simple video-game-like tracking task to help us learn about visual attention.,"Cognitive, tracking, attention",$1.00 ,Tue Jun 25 10:53:48 PDT 2019,10,BatchId:3687178;OriginalHitTemplateId:928390912;,1800,259200,Tue Jul 02 10:53:48 PDT 2019,,,3ON104KXQNAUUT6N0QA7XOEMCMFW4B,A1ZD8RU6YB0VEU,Submitted,Tue Jun 25 10:54:18 PDT 2019,Tue Jun 25 10:58:47 PDT 2019,Fri Jun 28 10:58:47 PDT 2019,,,,269,0% (0/0),0% (0/0),0% (0/0),{},1,,
31YWE12TE2Q4FWV2MRZZDZGGWUYX7P,3AKE04YHPPGA37ACTAFCMDEC6Q7HZ2,Tracking Study about Visual Attention,You will perform a simple video-game-like tracking task to help us learn about visual attention.,"Cognitive, tracking, attention",$1.00 ,Tue Jun 25 10:53:48 PDT 2019,10,BatchId:3687178;OriginalHitTemplateId:928390912;,1800,259200,Tue Jul 02 10:53:48 PDT 2019,,,3OVR4I9USSXPAWA1OHB15ZW0OLZ4QG,A29AKJXQ248KNK,Submitted,Tue Jun 25 10:56:11 PDT 2019,Tue Jun 25 11:17:30 PDT 2019,Fri Jun 28 11:17:30 PDT 2019,,,,1279,0% (0/0),0% (0/0),0% (0/0),{},1,,
31YWE12TE2Q4FWV2MRZZDZGGWUYX7P,3AKE04YHPPGA37ACTAFCMDEC6Q7HZ2,Tracking Study about Visual Attention,You will perform a simple video-game-like tracking task to help us learn about visual attention.,"Cognitive, tracking, attention",$1.00 ,Tue Jun 25 10:53:48 PDT 2019,10,BatchId:3687178;OriginalHitTemplateId:928390912;,1800,259200,Tue Jul 02 10:53:48 PDT 2019,,,3VJ40NV2QL1665CBO5K5O2DSPJXTOS,A1QVLNM0795FRM,Submitted,Tue Jun 25 10:54:17 PDT 2019,Tue Jun 25 11:05:59 PDT 2019,Fri Jun 28 11:05:59 PDT 2019,,,,702,0% (0/0),0% (0/0),0% (0/0),{},1,,
31YWE12TE2Q4FWV2MRZZDZGGWUYX7P,3AKE04YHPPGA37ACTAFCMDEC6Q7HZ2,Tracking Study about Visual Attention,You will perform a simple video-game-like tracking task to help us learn about visual attention.,"Cognitive, tracking, attention",$1.00 ,Tue Jun 25 10:53:48 PDT 2019,10,BatchId:3687178;OriginalHitTemplateId:928390912;,1800,259200,Tue Jul 02 10:53:48 PDT 2019,,,3ZV9H2YQQGL9CXNJ0C5ONJMGYMJW3Q,A2RCYLKY072XXO,Submitted,Tue Jun 25 10:54:18 PDT 2019,Tue Jun 25 10:57:58 PDT 2019,Fri Jun 28 10:57:58 PDT 2019,,,,220,0% (0/0),0% (0/0),0% (0/0),{},1,,
